iter	Passed	Remaining
941	6253	7023
942	6260	7017
943	6266	7010
944	6272	7002
945	6278	6995
946	6285	6988
947	6290	6981
948	6297	6974
949	6303	6966
950	6309	6960
951	6315	6952
952	6322	6945
953	6328	6938
954	6334	6931
955	6340	6924
956	6346	6916
957	6352	6908
958	6358	6901
959	6364	6894
960	6369	6886
961	6376	6880
962	6382	6872
963	6388	6865
964	6394	6857
965	6400	6850
966	6406	6844
967	6413	6837
968	6419	6830
969	6425	6823
970	6431	6815
971	6438	6809
972	6444	6801
973	6450	6795
974	6456	6787
975	6463	6780
976	6469	6773
977	6474	6766
978	6481	6759
979	6486	6751
980	6493	6744
981	6499	6737
982	6505	6730
983	6511	6723
984	6518	6716
985	6524	6709
986	6530	6702
987	6536	6694
988	6541	6687
989	6547	6680
990	6554	6673
991	6560	6666
992	6566	6658
993	6572	6651
994	6578	6644
995	6584	6637
996	6589	6629
997	6595	6622
998	6601	6615
999	6607	6607
1000	6613	6600
1001	6620	6593
1002	6626	6586
1003	6632	6579
1004	6638	6572
1005	6644	6564
1006	6649	6557
1007	6656	6550
1008	6662	6543
1009	6668	6536
1010	6674	6529
1011	6680	6522
1012	6686	6514
1013	6692	6507
1014	6698	6500
1015	6704	6493
1016	6710	6486
1017	6716	6479
1018	6722	6471
1019	6728	6464
1020	6734	6457
1021	6740	6450
1022	6746	6442
1023	6752	6436
1024	6759	6429
1025	6766	6423
1026	6772	6416
1027	6778	6409
1028	6784	6401
1029	6790	6394
1030	6796	6387
1031	6801	6379
1032	6807	6372
1033	6813	6365
1034	6820	6359
1035	6827	6352
1036	6843	6355
1037	6888	6384
1038	6897	6380
1039	6911	6379
1040	6920	6374
1041	6925	6367
1042	6931	6360
1043	6937	6352
1044	6943	6345
1045	6948	6337
1046	6954	6330
1047	6960	6322
1048	6965	6314
1049	6971	6307
1050	6977	6299
1051	6982	6292
1052	6988	6284
1053	6994	6277
1054	6999	6269
1055	7006	6263
1056	7012	6256
1057	7018	6248
1058	7024	6242
1059	7030	6234
1060	7035	6226
1061	7042	6220
1062	7048	6212
1063	7054	6205
1064	7059	6197
1065	7065	6190
1066	7071	6183
1067	7078	6176
1068	7084	6169
1069	7090	6162
1070	7096	6155
1071	7102	6148
1072	7108	6141
1073	7114	6133
1074	7119	6126
1075	7126	6119
1076	7132	6112
1077	7139	6105
1078	7144	6098
1079	7150	6091
1080	7156	6084
1081	7162	6077
1082	7168	6069
1083	7174	6062
1084	7180	6055
1085	7187	6048
1086	7193	6041
1087	7198	6034
1088	7204	6026
1089	7210	6019
1090	7216	6012
1091	7222	6005
1092	7229	5999
1093	7236	5993
1094	7243	5987
1095	7250	5980
1096	7256	5973
1097	7262	5966
1098	7269	5959
1099	7275	5952
1100	7281	5945
1101	7286	5937
1102	7293	5931
1103	7300	5924
1104	7306	5917
1105	7312	5910
1106	7317	5903
1107	7323	5896
1108	7330	5889
1109	7336	5882
1110	7342	5875
1111	7348	5868
1112	7354	5861
1113	7360	5854
1114	7366	5847
1115	7372	5839
1116	7379	5833
1117	7384	5825
1118	7390	5818
1119	7396	5811
1120	7402	5804
1121	7408	5797
1122	7414	5790
1123	7420	5783
1124	7426	5775
1125	7432	5768
1126	7438	5762
1127	7444	5755
1128	7450	5748
1129	7456	5741
1130	7463	5734
1131	7469	5727
1132	7474	5719
1133	7481	5713
1134	7487	5706
1135	7493	5699
1136	7500	5692
1137	7506	5685
1138	7512	5678
1139	7518	5671
1140	7524	5664
1141	7530	5657
1142	7536	5650
1143	7542	5643
1144	7548	5636
1145	7554	5629
